"Release_Date","BA.2","BA.4","BA.5","XBB.1.5","BA.2.86","BA.2.87.1","XAK","B.1.617.2","P.1","B.1.1.7"
2021-09-16,0,0,0,0,0,0,0,9,0,3
2021-09-17,0,0,0,0,0,0,0,2,0,1
2021-09-18,0,0,0,0,0,0,0,5,0,0
2021-09-19,0,0,0,0,0,0,0,0,0,0
2021-09-20,0,0,0,0,0,0,0,2,1,9
2021-09-21,0,0,0,0,0,0,0,16,2,41
2021-09-22,0,0,0,0,0,0,0,7,4,57
2021-09-23,0,0,0,0,0,0,0,8,1,22
2021-09-24,0,0,0,0,0,0,0,8,0,0
2021-09-25,0,0,0,0,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0,0,2,0,0
2021-09-27,0,0,0,0,0,0,0,5,2,36
2021-09-28,0,0,0,0,0,0,0,8,1,0
2021-09-29,0,0,0,0,0,0,0,2,0,0
2021-09-30,0,0,0,0,0,0,0,3,0,2
2021-10-01,0,0,0,0,0,0,0,2,0,1
2021-10-02,0,0,0,0,0,0,0,0,0,0
2021-10-03,0,0,0,0,0,0,0,1,0,4
2021-10-04,0,0,0,0,0,0,0,9,0,2
2021-10-05,0,0,0,0,0,0,0,0,0,0
2021-10-06,0,0,0,0,0,0,0,2,1,0
2021-10-07,0,0,0,0,0,0,0,4,0,2
2021-10-08,0,0,0,0,0,0,0,1,0,11
2021-10-09,0,0,0,0,0,0,0,1,0,0
2021-10-10,0,0,0,0,0,0,0,0,0,0
2021-10-11,0,0,0,0,0,0,0,4,0,0
2021-10-12,0,0,0,0,0,0,0,2,0,0
2021-10-13,0,0,0,0,0,0,0,10,0,72
2021-10-14,0,0,0,0,0,0,0,3,1,0
2021-10-15,0,0,0,0,0,0,0,2,3,10
2021-10-16,0,0,0,0,0,0,0,0,0,0
2021-10-17,0,0,0,0,0,0,0,0,0,0
2021-10-18,0,0,0,0,0,0,0,7,0,3
2021-10-19,0,0,0,0,0,0,0,0,0,0
2021-10-20,0,0,0,0,0,0,0,2,0,2
2021-10-21,0,0,0,0,0,0,0,8,0,0
2021-10-23,0,0,0,0,0,0,0,0,0,0
2021-10-25,0,0,0,0,0,0,0,11,1,0
2021-10-26,0,0,0,0,0,0,0,0,0,0
2021-10-27,0,0,0,0,0,0,0,1,0,1
2021-10-28,0,0,0,0,0,0,0,4,0,0
2021-10-29,0,0,0,0,0,0,0,1,0,0
2021-10-30,0,0,0,0,0,0,0,1,0,0
2021-10-31,0,0,0,0,0,0,0,0,0,0
2021-11-01,0,0,0,0,0,0,0,18,0,9
2021-11-02,0,0,0,0,0,0,0,3,3,3
2021-11-03,0,0,0,0,0,0,0,6,0,0
2021-11-04,0,0,0,0,0,0,0,1,0,0
2021-11-05,0,0,0,0,0,0,0,4,3,9
2021-11-06,0,0,0,0,0,0,0,1,0,0
2021-11-08,0,0,0,0,0,0,0,5,0,0
2021-11-09,0,0,0,0,0,0,0,1,1,0
2021-11-10,0,0,0,0,0,0,0,2,0,0
2021-11-11,0,0,0,0,0,0,0,0,0,0
2021-11-12,0,0,0,0,0,0,0,2,0,0
2021-11-13,0,0,0,0,0,0,0,1,0,0
2021-11-15,0,0,0,0,0,0,0,0,0,3
2021-11-16,0,0,0,0,0,0,0,8,0,2
2021-11-17,0,0,0,0,0,0,0,12,0,0
2021-11-18,0,0,0,0,0,0,0,9,4,16
2021-11-19,0,0,0,0,0,0,0,13,0,3
2021-11-20,0,0,0,0,0,0,0,0,0,0
2021-11-21,0,0,0,0,0,0,0,3,0,0
2021-11-22,0,0,0,0,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0,0,14,0,4
2021-11-24,0,0,0,0,0,0,0,1,0,0
2021-11-25,0,0,0,0,0,0,0,1,0,0
2021-11-26,0,0,0,0,0,0,0,4,0,0
2021-11-27,0,0,0,0,0,0,0,0,0,0
2021-11-28,0,0,0,0,0,0,0,1,0,0
2021-11-29,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0,0,1,0,0
2021-12-01,0,0,0,0,0,0,0,0,0,5
2021-12-02,0,0,0,0,0,0,0,2,0,0
2021-12-03,0,0,0,0,0,0,0,1,1,3
2021-12-04,0,0,0,0,0,0,0,4,0,0
2021-12-05,0,0,0,0,0,0,0,11,0,2
2021-12-06,0,0,0,0,0,0,0,4,0,0
2021-12-07,0,0,0,0,0,0,0,7,0,0
2021-12-08,0,0,0,0,0,0,0,2,0,0
2021-12-09,0,0,0,0,0,0,0,5,0,2
2021-12-10,0,0,0,0,0,0,0,4,1,40
2021-12-11,0,0,0,0,0,0,0,1,0,0
2021-12-12,0,0,0,0,0,0,0,1,0,0
2021-12-13,0,0,0,0,0,0,0,0,0,0
2021-12-14,0,0,0,0,0,0,0,3,0,5
2021-12-15,0,0,0,0,0,0,0,38,0,2
2021-12-16,0,0,0,0,0,0,0,0,0,0
2021-12-17,0,0,0,0,0,0,0,2,0,10
2021-12-18,0,0,0,0,0,0,0,3,0,5
2021-12-19,0,0,0,0,0,0,0,3,0,0
2021-12-20,0,0,0,0,0,0,0,7,0,4
2021-12-21,0,0,0,0,0,0,0,3,0,0
2021-12-22,0,0,0,0,0,0,0,12,0,6
2021-12-23,0,0,0,0,0,0,0,4,0,0
2021-12-24,0,0,0,0,0,0,0,2,0,0
2021-12-25,0,0,0,0,0,0,0,0,0,1
2021-12-26,0,0,0,0,0,0,0,0,0,0
2021-12-27,0,0,0,0,0,0,0,0,0,0
2021-12-28,0,0,0,0,0,0,0,2,0,0
2021-12-29,0,0,0,0,0,0,0,0,0,0
2021-12-30,0,0,0,0,0,0,0,2,0,9
2021-12-31,0,0,0,0,0,0,0,0,1,0
2022-01-01,0,0,0,0,0,0,0,0,0,0
2022-01-02,0,0,0,0,0,0,0,2,0,0
2022-01-03,0,0,0,0,0,0,0,1,1,1
2022-01-04,1,0,0,0,0,0,0,1,1,1
2022-01-05,0,0,0,0,0,0,0,3,0,10
2022-01-06,1,0,0,0,0,0,0,5,1,16
2022-01-07,0,0,0,0,0,0,0,0,0,6
2022-01-08,0,0,0,0,0,0,0,0,0,0
2022-01-09,1,0,0,0,0,0,0,46,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,8
2022-01-11,0,0,0,0,0,0,0,5,0,0
2022-01-12,0,0,0,0,0,0,0,2,0,15
2022-01-13,0,0,0,0,0,0,0,10,1,6
2022-01-14,0,0,0,0,0,0,0,5,0,1
2022-01-15,0,0,0,0,0,0,0,3,0,0
2022-01-16,0,0,0,0,0,0,0,0,0,0
2022-01-17,1,0,0,0,0,0,0,9,0,15
2022-01-18,2,0,0,0,0,0,0,4,0,8
2022-01-19,0,0,0,0,0,0,0,0,0,0
2022-01-20,0,0,0,0,0,0,0,0,0,0
2022-01-21,2,0,0,0,0,0,0,19,0,1
2022-01-22,2,0,0,0,0,0,0,0,0,0
2022-01-23,0,0,0,0,0,0,0,0,0,0
2022-01-24,3,0,0,0,0,0,0,0,0,0
2022-01-25,1,0,0,0,0,0,0,1,0,0
2022-01-26,3,0,0,0,0,0,0,1,0,0
2022-01-27,1,0,0,0,0,0,0,0,0,0
2022-01-28,0,0,0,0,0,0,0,2,1,7
2022-01-29,2,0,0,0,0,0,0,1,0,0
2022-01-30,5,0,0,0,0,0,0,0,0,0
2022-01-31,5,0,0,0,0,0,0,1,0,0
2022-02-01,0,0,0,0,0,0,0,0,0,11
2022-02-02,1,0,0,0,0,0,0,0,1,6
2022-02-03,1,0,0,0,0,0,0,2,0,0
2022-02-04,0,0,0,0,0,0,0,0,0,0
2022-02-05,0,0,0,0,0,0,0,0,0,0
2022-02-06,0,0,0,0,0,0,0,0,0,0
2022-02-07,1,0,0,0,0,0,0,0,0,0
2022-02-08,0,0,0,0,0,0,0,0,0,0
2022-02-09,20,0,0,0,0,0,0,7,0,2
2022-02-10,0,0,0,0,0,0,0,1,0,0
2022-02-11,12,0,0,0,0,0,0,0,0,0
2022-02-12,1,0,0,0,0,0,0,0,0,0
2022-02-13,14,0,0,0,0,0,0,14,0,0
2022-02-14,0,0,0,0,0,0,0,1,0,0
2022-02-15,1,0,0,0,0,0,0,4,0,0
2022-02-16,9,0,0,0,0,0,0,0,0,0
2022-02-17,10,0,0,0,0,0,0,2,0,44
2022-02-18,6,0,0,0,0,0,0,6,0,22
2022-02-19,3,0,0,0,0,0,0,0,0,0
2022-02-20,0,0,0,0,0,0,0,0,0,5
2022-02-21,1,0,0,0,0,0,0,0,0,0
2022-02-22,0,0,0,0,0,0,0,0,0,1
2022-02-23,98,0,0,0,0,0,0,1,0,0
2022-02-24,4,0,0,0,0,0,0,0,0,0
2022-02-25,100,0,0,0,0,0,0,0,0,0
2022-02-26,53,0,0,0,0,0,0,0,0,0
2022-02-27,12,0,0,0,0,0,0,0,0,0
2022-02-28,24,0,0,0,0,0,0,0,0,0
2022-03-01,4,0,0,0,0,0,0,0,0,0
2022-03-02,1,0,0,0,0,0,0,1,3,0
2022-03-03,25,0,0,0,0,0,0,0,0,0
2022-03-04,14,0,0,0,0,0,0,1,0,0
2022-03-05,6,0,0,0,0,0,0,0,0,0
2022-03-06,64,0,0,0,0,0,0,0,0,0
2022-03-07,1,0,0,0,0,0,0,1,0,0
2022-03-08,4,0,0,0,0,0,0,0,0,0
2022-03-09,235,0,0,0,0,0,0,0,0,8
2022-03-10,20,0,0,0,0,0,0,0,0,0
2022-03-11,4,0,0,0,0,0,0,0,0,0
2022-03-12,1,0,0,0,0,0,0,0,0,0
2022-03-13,1,0,0,0,0,0,0,0,0,0
2022-03-14,0,0,0,0,0,0,0,0,0,0
2022-03-15,268,0,0,0,0,0,0,0,0,0
2022-03-16,3,0,0,0,0,0,0,0,0,0
